0,0,150
0,8,1
0,82,3
0,97,1
0,797,1
0,1541,1
1,1,2
2,120,1
3,3,1
4,4,2
5,135,1
6,6,2
7,82,1
8,82,1
8,1560,1
9,9,1
10,10,2
11,1093,1
12,12,1
13,8,1
14,14,2
15,15,1
16,16,2
17,17,2
18,82,1
19,19,1
19,299,1
20,20,1
21,21,5
22,82,1
23,1570,1
24,563,1
25,25,1
26,0,2
26,26,38
26,111,2
26,230,4
26,269,1
26,1461,1
27,27,1
28,307,1
29,29,2
30,30,1
31,31,1
32,32,1
33,33,2
34,34,9
34,286,1
34,1570,1
35,35,1
36,537,1
37,37,1
38,38,1
39,39,1
40,320,1
41,41,4
42,208,1
43,43,1
43,1642,1
44,44,1
45,1567,1
46,46,1
47,8,1
47,47,10
47,1692,3
47,1698,1
48,48,1
49,49,11
50,1157,1
51,1567,1
52,52,1
53,26,1
53,53,11
53,493,1
53,565,1
54,54,1
54,354,1
55,265,1
56,56,1
57,57,1
58,131,1
59,59,1
60,60,1
61,1232,1
62,62,2
63,346,1
64,64,1
65,65,2
66,66,2
67,67,2
68,68,1
69,69,1
70,70,2
71,71,2
72,72,2
73,73,2
74,74,3
75,75,1
76,76,2
77,979,1
78,78,8
79,82,1
80,80,14
80,1448,1
81,82,1
82,0,1
82,82,14
82,285,1
82,1244,1
83,83,1
84,84,1
85,85,1
86,86,1
87,87,15
88,88,1
89,89,1
90,90,5
91,265,1
91,1560,1
92,92,3
93,0,1
93,93,1
94,94,1
95,95,1
96,1541,1
97,97,2
98,98,4
99,82,1
99,99,2
99,1698,1
100,206,1
101,514,1
102,102,1
103,103,3
103,230,1
103,1402,1
104,104,1
105,105,4
106,106,3
107,107,2
108,108,1
109,109,11
109,1560,1
110,82,1
111,111,3
112,112,1
113,82,1
113,265,1
114,1244,1
115,115,6
116,116,1
117,117,1
118,118,4
119,119,1
120,120,32
121,121,6
122,122,3
123,123,1
124,124,4
125,253,1
126,1709,1
127,127,2
128,128,1
129,129,1
130,130,2
131,131,28
132,132,1
133,133,1
134,134,1
134,1667,1
135,135,1
136,135,1
137,137,4
138,261,1
139,82,1
140,140,1
141,1448,1
142,1570,1
143,8,1
144,144,1
144,528,1
144,846,1
144,1560,1
145,82,2
145,109,1
145,132,1
145,1560,1
146,146,1
147,147,4
147,200,1
147,286,1
147,1728,1
148,148,4
149,149,4
150,150,1
151,151,1
151,170,1
152,152,1
153,1560,1
154,154,1
155,120,1
156,82,1
156,156,5
157,157,1
158,82,1
159,159,1
159,183,1
159,379,1
160,157,1
160,160,1
161,82,2
161,265,1
162,162,1
163,163,2
163,183,1
163,335,1
164,156,1
165,165,1
166,379,1
167,82,1
168,335,1
169,120,1
170,170,1
171,171,1
172,1589,1
173,404,1
174,82,1
175,175,1
176,176,2
177,177,1
178,178,1
179,179,1
180,180,1
181,181,2
182,182,1
183,145,1
183,332,1
183,1698,1
184,184,1
185,310,1
185,439,1
185,473,1
185,1698,1
185,1766,1
186,1274,1
187,8,1
188,188,1
188,1560,1
189,189,1
190,82,1
190,190,2
191,8,1
191,129,1
191,389,1
191,1766,1
192,82,1
192,389,1
193,193,2
193,1677,1
194,189,1
194,194,6
195,354,1
196,196,1
196,329,1
196,548,1
197,197,2
198,198,2
199,199,1
200,147,1
201,201,1
202,202,2
203,1616,1
204,204,1
205,205,5
206,206,1
206,265,1
207,207,1
208,208,2
209,131,1
210,210,2
211,211,2
212,212,2
213,335,2
214,214,8
215,215,1
216,216,1
217,217,1
217,1560,1
218,82,1
219,219,1
220,230,1
221,221,4
221,265,1
222,222,1
223,223,1
224,224,1
225,225,1
226,226,1
227,339,1
228,228,1
229,214,1
230,230,41
231,231,1
232,846,1
233,233,1
234,1679,1
235,235,2
236,654,1
237,237,1
238,238,3
239,1712,1
240,240,3
241,241,1
242,8,1
242,1157,1
243,82,1
243,243,3
244,82,1
245,245,1
246,246,1
247,247,2
248,82,1
248,248,2
249,249,1
250,134,1
251,251,6
252,252,2
252,1592,1
253,253,4
254,1093,2
255,1633,1
256,563,1
257,257,3
