Metric,Value
Validation,
Validation F1 Score,0.9062965914946431
Validation Accuracy Score,0.9219192370734615
Regular Testing,
Test F1 Score,0.7870830570733504
Test Accuracy Score,0.9052443384982122
Test MCC,0.904851099072313
Test Balanced Accuracy,0.8094366176645817
Bootstrapping Results,
Accuracy ,0.9050907330154946
Accuracy std ,0.003587343303693277
F1-Score,0.7859026931453502
F1-Score Std,0.006483214918507122
MCC,0.9046960754776432
Balanced Accuracy,0.8242766777557129
