Metric,Value
Validation,
Validation F1 Score,0.870309769632844
Validation Accuracy Score,0.8900312919088065
Regular Testing,
Test F1 Score,0.7206715030042781
Test Accuracy Score,0.8693384982121574
Test MCC,0.868822514474147
Test Balanced Accuracy,0.744694373927598
Bootstrapping Results,
Accuracy ,0.8691300655542312
F1-Score,0.7257077063586593
MCC,0.8686122593395561
Balanced Accuracy,0.7648884078014077
